t,visible,lateral,tamano,confianza,vx,wz
13.162,1,-0.4249,0.7391,0.936,-0.2000,0.3411
13.226,1,-0.4438,0.7415,0.925,-0.2000,0.3795
13.296,1,-0.4603,0.7435,0.912,-0.2010,0.4218
13.363,1,-0.4841,0.7432,0.912,-0.2005,0.4619
13.428,1,-0.5032,0.7437,0.903,-0.2012,0.5008
13.494,1,-0.5256,0.7464,0.916,-0.2049,0.5403
13.562,1,-0.5460,0.7518,0.920,-0.2126,0.5814
13.628,1,-0.5629,0.7563,0.918,-0.2188,0.6000
13.694,1,-0.5845,0.7611,0.932,-0.2255,0.6000
13.758,1,-0.6006,0.7631,0.934,-0.2283,0.6000
13.825,1,-0.6167,0.7649,0.923,-0.2309,0.6000
13.894,1,-0.6290,0.7671,0.921,-0.2340,0.6000
13.959,1,-0.6402,0.7677,0.931,-0.2348,0.6000
14.027,1,-0.6499,0.7670,0.926,-0.2338,0.6000
14.094,1,-0.6597,0.7669,0.923,-0.2337,0.6000
14.157,1,-0.6687,0.7665,0.920,-0.2331,0.6000
14.226,1,-0.6774,0.7665,0.923,-0.2331,0.6000
14.288,1,-0.6827,0.7670,0.922,-0.2338,0.6000
14.341,1,-0.6858,0.7678,0.921,-0.2349,0.6000
14.392,1,-0.6887,0.7691,0.918,-0.2368,0.6000
14.458,1,-0.6883,0.7702,0.913,-0.2383,0.6000
14.526,1,-0.6882,0.7716,0.912,-0.2402,0.6000
14.588,1,-0.6832,0.7714,0.916,-0.2399,0.6000
14.656,1,-0.6686,0.7723,0.908,-0.2412,0.6000
14.725,1,-0.6565,0.7719,0.919,-0.2407,0.6000
14.789,1,-0.6414,0.7721,0.920,-0.2409,0.6000
14.857,1,-0.6242,0.7676,0.928,-0.2347,0.6000
14.923,1,-0.5952,0.7592,0.906,-0.2229,0.6000
14.989,1,-0.5564,0.7513,0.904,-0.2119,0.6000
15.057,1,-0.5035,0.7417,0.914,-0.2000,0.6000
15.121,1,-0.4479,0.7340,0.910,-0.2000,0.5616
15.190,1,-0.3921,0.7317,0.922,-0.2000,0.5203
15.258,1,-0.3390,0.7337,0.915,-0.2000,0.4792
15.322,1,-0.2905,0.7345,0.922,-0.2000,0.4407
15.390,1,-0.2453,0.7345,0.920,-0.2000,0.4001
15.452,1,-0.2057,0.7317,0.922,-0.2000,0.3629
15.518,1,-0.1650,0.7281,0.917,-0.2000,0.3234
15.584,1,-0.1187,0.7281,0.902,-0.2000,0.2836
15.644,1,-0.0721,0.7296,0.916,-0.2000,0.2474
15.738,1,-0.0284,0.7329,0.899,-0.2000,0.1915
15.789,1,0.0166,0.7332,0.910,-0.2000,0.1608
15.855,1,0.0593,0.7340,0.905,-0.2000,0.1209
15.921,1,0.1012,0.7322,0.913,-0.2000,0.0813
15.987,1,0.1433,0.7298,0.929,-0.2000,0.0419
16.040,1,0.1736,0.7260,0.926,-0.2000,0.0103
16.092,1,0.2081,0.7216,0.914,-0.2000,-0.0213
16.154,1,0.2443,0.7181,0.917,-0.2000,-0.0583
16.221,1,0.2777,0.7134,0.917,-0.2000,-0.0983
16.285,1,0.3061,0.7106,0.922,-0.2000,-0.1371
16.353,1,0.3301,0.7087,0.921,-0.2000,-0.1779
16.421,1,0.3507,0.7077,0.916,-0.2000,-0.2185
16.486,1,0.3683,0.7068,0.926,-0.2000,-0.2575
16.554,1,0.3846,0.7039,0.936,-0.2000,-0.2983
16.618,1,0.3989,0.7026,0.932,-0.2000,-0.3370
16.687,1,0.4100,0.7020,0.928,-0.2000,-0.3781
16.739,1,0.4189,0.7015,0.923,-0.2000,-0.4091
16.846,1,0.4249,0.7006,0.918,-0.2000,-0.4737
16.927,1,0.4298,0.6996,0.916,-0.1517,-0.5157
16.964,1,0.4322,0.6989,0.917,-0.1295,-0.5186
17.002,1,0.4329,0.6980,0.918,-0.1063,-0.5194
17.114,1,0.4327,0.6975,0.919,-0.0391,-0.5193
17.200,1,0.4327,0.6974,0.920,0.0000,-0.5192
17.256,1,0.4310,0.6971,0.924,0.0000,-0.5172
17.322,1,0.4282,0.6970,0.926,0.0000,-0.5138
17.387,1,0.4243,0.6971,0.926,0.0000,-0.5092
17.453,1,0.4207,0.6968,0.925,0.0000,-0.5048
17.518,1,0.4172,0.6965,0.922,0.0000,-0.5006
17.587,1,0.4135,0.6958,0.920,0.0000,-0.4962
17.651,1,0.4106,0.6949,0.917,0.0000,-0.4927
17.719,1,0.4068,0.6941,0.916,0.0000,-0.4882
17.782,1,0.4020,0.6934,0.921,0.0000,-0.4824
17.850,1,0.3976,0.6934,0.920,0.0000,-0.4772
17.918,1,0.3939,0.6931,0.921,0.0000,-0.4727
17.987,1,0.3910,0.6928,0.918,0.0000,-0.4692
18.056,1,0.3883,0.6921,0.918,0.0000,-0.4659
18.119,1,0.3856,0.6908,0.919,0.0000,-0.4627
18.183,1,0.3820,0.6893,0.919,0.0000,-0.4585
18.251,1,0.3779,0.6882,0.919,0.0000,-0.4534
18.314,1,0.3745,0.6864,0.919,0.0000,-0.4494
18.382,1,0.3713,0.6847,0.919,0.0000,-0.4456
18.452,1,0.3677,0.6837,0.920,0.0000,-0.4412
18.513,1,0.3627,0.6827,0.920,0.0000,-0.4352
18.576,1,0.3568,0.6812,0.920,0.0000,-0.4282
18.652,1,0.3493,0.6789,0.916,0.0000,-0.4192
18.713,1,0.3413,0.6767,0.914,0.0000,-0.4096
18.782,1,0.3309,0.6743,0.913,0.0000,-0.3971
18.846,1,0.3133,0.6733,0.920,0.0000,-0.3760
18.915,1,0.2933,0.6711,0.916,0.0000,-0.3520
18.983,1,0.2678,0.6695,0.919,0.0000,-0.3214
19.046,1,0.2416,0.6700,0.913,0.0000,-0.2899
19.113,1,0.2202,0.6701,0.916,0.0000,-0.2642
19.183,1,0.1942,0.6696,0.910,0.0000,-0.2500
19.246,1,0.1648,0.6681,0.912,0.0000,-0.2500
19.314,1,0.1431,0.6675,0.910,0.0000,-0.2090
19.378,1,0.1226,0.6686,0.916,0.0000,-0.1703
19.432,1,0.1085,0.6694,0.916,0.0000,-0.1382
19.484,1,0.0980,0.6706,0.918,0.0000,-0.1070
19.547,1,0.0901,0.6729,0.915,0.0000,-0.0694
19.614,1,0.0845,0.6752,0.916,0.0000,-0.0292
19.678,1,0.0802,0.6775,0.916,0.0000,0.0000
19.746,1,0.0756,0.6804,0.912,0.0000,0.0000
19.813,1,0.0694,0.6824,0.908,0.0000,0.0000
19.877,1,0.0630,0.6849,0.910,0.0000,0.0000
19.945,1,0.0558,0.6861,0.909,0.0000,0.0000
20.009,1,0.0431,0.6856,0.900,0.0000,0.0000
20.076,1,0.0301,0.6837,0.920,0.0000,0.0000
20.144,1,0.0152,0.6837,0.924,0.0000,0.0000
20.210,1,-0.0015,0.6845,0.917,0.0000,0.0000
20.263,1,-0.0236,0.6823,0.914,0.0000,0.0000
20.374,1,-0.0414,0.6771,0.919,0.0000,0.0000
20.460,1,-0.0565,0.6735,0.919,0.0000,0.0000
20.514,1,-0.0695,0.6713,0.921,0.0000,0.0000
20.578,1,-0.0769,0.6697,0.920,0.0000,0.0000
20.642,1,-0.0794,0.6681,0.923,0.0000,0.0000
20.709,1,-0.0766,0.6664,0.920,0.0000,0.0000
20.778,1,-0.0706,0.6659,0.908,0.0000,0.0000
20.842,1,-0.0573,0.6669,0.909,0.0000,0.0000
20.909,1,-0.0385,0.6663,0.908,0.0000,0.0000
20.980,1,-0.0167,0.6635,0.906,0.0000,0.0000
21.043,1,0.0116,0.6605,0.906,0.0000,0.0000
21.110,1,0.0425,0.6586,0.895,0.0000,0.0000
21.174,1,0.0757,0.6575,0.911,0.0000,0.0000
21.243,1,0.1089,0.6578,0.902,0.0000,0.0000
21.310,1,0.1385,0.6579,0.908,0.0000,0.0000
21.375,1,0.1632,0.6572,0.906,0.0000,-0.0390
21.440,1,0.1825,0.6574,0.905,0.0000,-0.0778
21.510,1,0.1962,0.6573,0.907,0.0000,-0.1196
21.568,1,0.2065,0.6579,0.911,0.0000,-0.1544
21.640,1,0.2159,0.6584,0.916,0.0000,-0.1979
21.705,1,0.2230,0.6578,0.913,0.0000,-0.2370
21.773,1,0.2274,0.6581,0.914,0.0000,-0.2729
21.842,1,0.2320,0.6583,0.918,0.0000,-0.2783
21.905,1,0.2396,0.6595,0.909,0.0000,-0.2875
21.973,1,0.2478,0.6608,0.907,0.0000,-0.2974
22.041,1,0.2567,0.6609,0.910,0.0000,-0.3080
22.092,1,0.2710,0.6609,0.912,0.0000,-0.3253
22.202,1,0.2938,0.6619,0.920,0.0000,-0.3525
22.289,1,0.3167,0.6611,0.920,0.0000,-0.3800
22.345,1,0.3392,0.6628,0.925,0.0000,-0.4071
22.406,1,0.3608,0.6642,0.920,0.0000,-0.4329
